date,rainfall,humidity,temperature
2023-11-09,7.11,85,22.4
2023-11-10,4.43,86,21.6
2023-11-11,0.0,71,21.4
2023-11-12,0.0,69,21.0
2023-11-13,0.0,72,21.0
2023-11-14,0.04,81,19.2
2023-11-15,0.0,74,21.3
2023-11-16,0.0,63,22.9
2023-11-17,0.07,64,24.2
2023-11-18,0.22,69,24.1
2023-11-19,0.0,68,22.3
2023-11-20,0.0,66,22.4
2023-11-21,0.16,70,23.3
2023-11-22,8.64,82,22.7
2023-11-23,7.4,85,22.2
2023-11-24,0.23,79,22.4
2023-11-25,4.3,82,21.8
2023-11-26,0.02,76,21.9
2023-11-27,0.95,76,22.2
2023-11-28,0.14,77,22.1
2023-11-29,1.59,79,22.1
2023-11-30,4.81,88,21.3
2023-12-01,12.91,82,22.0
2023-12-02,0.1,79,21.8
2023-12-03,0.48,82,21.3
2023-12-04,0.32,89,20.5
2023-12-05,0.32,76,22.5
2023-12-06,0.02,68,22.7
2023-12-07,1.04,65,24.6
2023-12-08,0.83,78,23.0
2023-12-09,3.4,82,22.4
2023-12-10,0.2,77,22.6
2023-12-11,0.59,77,22.3
2023-12-12,0.09,71,21.9
2023-12-13,0.0,66,21.1
2023-12-14,0.01,72,20.4
2023-12-15,0.16,79,20.7
2023-12-16,0.61,77,22.3
2023-12-17,0.04,77,21.0
2023-12-18,0.01,74,21.3
2023-12-19,0.0,72,20.4
2023-12-20,0.0,72,20.6
2023-12-21,0.0,70,21.3
2023-12-22,0.0,67,21.2
2023-12-23,0.0,60,20.8
2023-12-24,0.0,67,20.6
2023-12-25,0.01,74,21.8
2023-12-26,0.0,62,21.4
2023-12-27,0.0,62,20.7
2023-12-28,0.04,74,21.4
2023-12-29,0.03,75,21.4
2023-12-30,0.0,69,20.7
2023-12-31,0.0,61,21.3
2024-01-01,0.0,63,21.2
2024-01-02,0.0,58,21.1
2024-01-03,0.0,60,21.2
2024-01-04,0.25,69,20.9
2024-01-05,0.08,76,20.6
2024-01-06,0.01,73,21.5
2024-01-07,0.38,73,20.4
2024-01-08,0.1,81,20.3
2024-01-09,0.28,80,20.9
2024-01-10,0.0,69,21.6
2024-01-11,0.0,64,21.7
2024-01-12,0.0,61,21.6
2024-01-13,0.0,65,22.4
2024-01-14,0.0,59,22.7
2024-01-15,0.0,56,22.6
2024-01-16,0.0,54,22.8
2024-01-17,0.0,57,22.3
2024-01-18,0.0,55,22.6
2024-01-19,0.0,55,23.5
2024-01-20,0.0,60,23.6
2024-01-21,0.0,61,23.7
2024-01-22,0.0,57,23.8
2024-01-23,0.0,58,24.0
2024-01-24,0.19,63,23.5
2024-01-25,0.0,59,23.4
2024-01-26,0.0,57,22.2
2024-01-27,0.0,61,21.6
2024-01-28,0.01,63,22.3
2024-01-29,0.0,57,22.2
2024-01-30,0.0,49,22.5
2024-01-31,0.0,53,24.0
2024-02-01,0.0,45,24.4
2024-02-02,0.0,50,24.8
2024-02-03,0.26,63,24.9
2024-02-04,0.0,54,24.3
2024-02-05,0.0,48,24.6
2024-02-06,0.0,44,24.6
2024-02-07,0.0,40,24.9
2024-02-08,0.0,36,25.3
2024-02-09,0.0,44,24.8
2024-02-10,0.0,54,23.7
2024-02-11,0.0,58,22.8
2024-02-12,0.0,48,22.8
2024-02-13,0.0,51,23.0
2024-02-14,0.0,58,23.8
2024-02-15,0.0,44,23.6
2024-02-16,0.0,42,23.4
2024-02-17,0.0,44,24.1
2024-02-18,0.0,42,24.6
2024-02-19,0.0,41,24.6
2024-02-20,0.0,43,25.3
2024-02-21,0.0,39,26.3
2024-02-22,0.03,43,26.1
2024-02-23,0.0,38,26.3
2024-02-24,0.14,44,27.4
2024-02-25,0.4,57,25.6
2024-02-26,0.0,56,24.2
2024-02-27,0.0,56,24.2
2024-02-28,0.0,43,25.3
2024-02-29,0.0,31,25.2
2024-03-01,0.0,38,25.3
2024-03-02,0.0,38,26.0
2024-03-03,0.0,42,26.1
2024-03-04,0.0,38,27.3
2024-03-05,0.0,33,27.3
2024-03-06,0.0,32,27.4
2024-03-07,0.0,33,28.2
2024-03-08,0.0,37,28.3
2024-03-09,0.0,39,28.3
2024-03-10,0.0,38,27.7
2024-03-11,0.0,39,27.8
2024-03-12,0.0,39,28.0
2024-03-13,0.0,36,28.4
2024-03-14,0.1,43,28.8
2024-03-15,0.0,34,29.5
2024-03-16,0.0,33,28.4
2024-03-17,0.0,42,27.4
2024-03-18,0.0,34,27.7
2024-03-19,0.0,37,27.8
2024-03-20,0.0,33,28.4
2024-03-21,0.0,56,25.4
2024-03-22,0.0,48,27.0
2024-03-23,0.0,41,28.1
2024-03-24,0.0,33,28.3
2024-03-25,0.0,32,28.2
2024-03-26,0.0,32,28.3
2024-03-27,0.0,26,28.6
2024-03-28,0.0,30,29.0
2024-03-29,0.0,28,29.3
2024-03-30,0.0,33,29.0
2024-03-31,0.0,33,28.6
2024-04-01,0.0,34,29.0
2024-04-02,0.0,38,30.0
2024-04-03,0.0,37,30.2
2024-04-04,0.0,39,30.3
2024-04-05,0.0,36,30.4
2024-04-06,0.0,28,30.8
2024-04-07,0.0,36,29.8
2024-04-08,0.0,33,29.5
2024-04-09,0.0,35,28.4
2024-04-10,0.0,39,28.1
2024-04-11,0.0,37,28.8
2024-04-12,0.02,49,28.2
2024-04-13,0.0,45,28.4
2024-04-14,0.0,42,28.8
2024-04-15,0.0,35,29.2
2024-04-16,0.0,35,29.6
2024-04-17,0.0,38,30.5
2024-04-18,2.14,44,30.5
2024-04-19,1.63,45,29.8
2024-04-20,1.33,48,30.0
2024-04-21,0.0,35,31.2
2024-04-22,0.0,34,30.9
2024-04-23,0.0,36,30.6
2024-04-24,0.0,25,30.1
2024-04-25,0.0,33,30.2
2024-04-26,0.0,30,30.4
2024-04-27,0.0,26,30.6
2024-04-28,0.0,27,30.9
2024-04-29,0.0,35,30.8
2024-04-30,0.0,37,31.2
2024-05-01,0.0,43,31.4
2024-05-02,0.5,44,31.3
2024-05-03,0.27,45,31.3
2024-05-04,0.0,40,30.7
2024-05-05,0.01,36,31.2
2024-05-06,0.09,40,31.5
2024-05-07,15.26,57,28.2
2024-05-08,3.3,55,28.0
2024-05-09,7.24,51,28.7
2024-05-10,8.11,56,27.5
2024-05-11,4.01,54,28.6
2024-05-12,1.39,52,28.7
2024-05-13,7.01,55,28.3
2024-05-14,4.24,49,29.2
2024-05-15,2.47,48,29.1
2024-05-16,2.87,58,27.3
2024-05-17,8.0,63,26.5
2024-05-18,5.01,64,26.0
2024-05-19,10.24,64,27.0
2024-05-20,12.41,71,26.2
2024-05-21,2.01,74,25.4
2024-05-22,0.45,61,27.9
2024-05-23,0.8,59,28.3
2024-05-24,25.58,63,27.4
2024-05-25,0.56,78,23.6
2024-05-26,0.53,70,25.0
2024-05-27,0.0,67,25.1
2024-05-28,0.98,60,26.0
2024-05-29,0.09,61,27.2
2024-05-30,22.17,66,27.4
2024-05-31,3.63,63,27.9
2024-06-01,64.93,69,26.5
2024-06-02,12.68,66,26.4
2024-06-03,4.99,65,26.4
2024-06-04,12.51,69,26.0
2024-06-05,13.07,74,24.9
2024-06-06,19.37,75,24.9
2024-06-07,10.44,84,22.4
2024-06-08,1.82,76,23.8
2024-06-09,0.89,76,22.6
2024-06-10,0.45,71,23.8
2024-06-11,0.07,69,23.6
2024-06-12,0.53,69,23.5
2024-06-13,0.47,77,21.4
2024-06-14,0.07,66,24.2
2024-06-15,0.0,62,25.0
2024-06-16,0.21,59,25.9
2024-06-17,1.57,64,25.4
2024-06-18,3.11,67,25.5
2024-06-19,0.42,65,25.6
2024-06-20,0.46,66,24.6
2024-06-21,2.42,72,23.3
2024-06-22,1.23,72,22.8
2024-06-23,0.12,70,23.4
2024-06-24,0.73,73,22.8
2024-06-25,0.2,70,24.0
2024-06-26,0.16,74,23.4
2024-06-27,0.09,72,23.4
2024-06-28,0.04,70,23.4
2024-06-29,0.05,70,24.3
2024-06-30,4.22,71,24.3
